customer_id,full_name,gender,,birth_date,phone,email,city,region,loyalty_tier,registration_date
CUS01518,Mohamed Mansour,Male,,5/1/1981,1158132110,mohamed.mansour52@hotmail.com,Suez,Canal Zone,Bronze,12/19/2020
CUS02370,Maged Lotfy,Male,,4/10/2003,1281872177,No_Email,Zagazig,Nile Delta,Bronze,5/13/2021
CUS01962,Ahmed Hafez,Male,,5/3/1971,1141856715,ahmed.hafez18@outlook.com,Giza,Greater Cairo,Gold,9/26/2023
CUS00344,Hoda Fathy,Female,,5/19/2000,1195645083,hoda.fathy26@outlook.com,Giza,Greater Cairo,Bronze,7/7/2021
CUS02664,Hussein Lotfy,Male,,12/26/1998,1149528740,hussein.lotfy80@gmail.com,Tanta,Nile Delta,Bronze,10/5/2022
CUS01174,Nour Mostafa,Female,,6/10/1984,1114481563,nour.mostafa72@hotmail.com,Cairo,Greater Cairo,Silver,10/7/2021
CUS02677,Hazem Hamdy,Male,,9/25/1974,1084698064,hazem.hamdy68@outlook.com,Giza,Greater Cairo,Bronze,1/28/2020
CUS01028,Fatima Ramadan,Female,,10/20/1975,1019232076,fatima.ramadan42@outlook.com,Aswan,Upper Egypt,Bronze,4/3/2023
CUS02084,Ramy Farouk,Male,,17/08/1989,1069113227,ramy.farouk8@hotmail.com,Suez,Canal Zone,Silver,9/9/2021
CUS01445,Sherif Zaki,Male,,1/6/1992,1252440768,sherif.zaki7@hotmail.com,Luxor,Upper Egypt,Silver,10/25/2020
CUS00933,Bassem Farouk,Male,,12/18/1990,1229438263,bassem.farouk40@gmail.com,Ismailia,Canal Zone,Silver,12/26/2020
CUS00179,Hossam Fathy,Male,,10/8/1981,1248988647,hossam.fathy16@yahoo.com,Port Said,Canal Zone,Bronze,7/2/2023
CUS01594,Hoda Badawi,Female,,11/14/1985,1271886181,hoda.badawi40@yahoo.com,Cairo,Greater Cairo,Gold,5/20/2022
CUS01948,Ahmed Mostafa,Male,,12/1/1980,1070428122,ahmed.mostafa83@hotmail.com,Cairo,Greater Cairo,Platinum,7/20/2022
CUS01663,Yasmin Khalil,Female,,18/11/1986,1078622351,yasmin.khalil15@gmail.com,Suez,Canal Zone,Silver,11/23/2023
CUS02432,Hussein Younis,Male,,12/8/1994,1224467198,hussein.younis30@yahoo.com,Aswan,Upper Egypt,Bronze,3/7/2020
CUS02863,Ramy Ramadan,Male,,5/22/1989,1019329244,ramy.ramadan58@yahoo.com,Port Said,Canal Zone,Platinum,4/19/2023
CUS02343,Doha Shaaban,Female,,5/21/1998,1093235590,doha.shaaban46@gmail.com,Cairo,Greater Cairo,Bronze,8/19/2022
CUS01498,Tarek Ragab,Male,,2/20/1974,1290242618,tarek.ragab11@gmail.com,Alexandria,Alexandria,Silver,11/11/2020
CUS02967,Ibrahim Bakr,Male,,3/20/1980,1221940949,ibrahim.bakr8@outlook.com,Zagazig,Nile Delta,Platinum,10/17/2021
CUS02414,Salma Zaki,Female,,5/7/1977,1095240437,salma.zaki23@hotmail.com,Cairo,Greater Cairo,Bronze,9/8/2023
CUS02808,Ramy Ali,Male,,10/13/1995,1225235645,ramy.ali33@hotmail.com,Cairo,Greater Cairo,Bronze,3/7/2022
CUS01284,Hany Khalil,Male,,1/24/1997,1258398175,hany.khalil59@outlook.com,Cairo,Greater Cairo,Bronze,5/17/2023
CUS02869,Engy Attia,Female,,20/10/1991,1027978174,engy.attia68@yahoo.com,Giza,Greater Cairo,Bronze,1/7/2020
CUS00890,Tarek Lotfy,Male,,3/7/1989,1044810342,No_Email,Cairo,Greater Cairo,Bronze,1/14/2023
CUS01460,Nour Bakr,Female,,3/4/1980,1126675052,nour.bakr54@hotmail.com,Mansoura,Nile Delta,Silver,9/20/2020
CUS00652,Ramy Mansour,Male,,5/16/1997,1034772080,ramy.mansour11@hotmail.com,Alexandria,Alexandria,Bronze,2/17/2023
CUS01437,Yasmin Abdallah,Female,,8/8/1996,1223416165,yasmin.abdallah68@gmail.com,Giza,Greater Cairo,Gold,9/12/2022
CUS00555,Omar Ahmed,Male,,9/26/1978,1167096991,No_Email,Luxor,Upper Egypt,Bronze,7/25/2023
